Period,Year,Month,O-Dead,O-Missing,O-Prisioner,O-Wounded,O-Total,OR-Dead,OR-Missing,OR-Prisioner,OR-Wounded,OR-Total,Grand Total
1-May-15,1915,5,35,5,,59,99,159,30,,"1,346","1,535","1,634"
1-Jun-15,1915,6,9,,,26,35,432,181,,596,"1,209","1,244"
1-Jul-15,1915,7,,3,,16,19,126,,1,272,399,418
1-Aug-15,1915,8,29,7,,75,111,439,84,,881,"1,404","1,515"
1-Sep-15,1915,9,11,2,,30,43,393,332,19,"1,556","2,300","2,343"
1-Oct-15,1915,10,5,,,2,7,101,19,,179,299,306
1-Nov-15,1915,11,17,6,,8,31,140,,4,285,429,460
1-Dec-15,1915,12,3,,,,3,50,,,153,203,206
1-Jan-16,1916,1,11,,,1,12,477,,1,,478,490
1-Feb-16,1916,2,6,,,,6,173,,,16,189,195
1-Mar-16,1916,3,1,,,,1,78,28,,,106,107
1-Apr-16,1916,4,,,,,,24,1,,,25,25
1-May-16,1916,5,1,,,,1,99,,,43,142,143
1-Jun-16,1916,6,14,,,22,36,223,,,498,721,757
1-Jul-16,1916,7,18,,,42,60,321,13,,945,"1,279","1,339"
1-Aug-16,1916,8,8,2,1,27,38,165,15,5,586,771,809
1-Sep-16,1916,9,48,,,127,175,492,,17,"2,448","2,957","3,132"
1-Oct-16,1916,10,48,4,,71,123,"1,189",199,1,"2,898","4,287","4,410"
1-Nov-16,1916,11,10,,,6,16,140,24,6,211,381,397
1-Dec-16,1916,12,3,,,5,8,252,,2,51,305,313
1-Jan-17,1917,1,7,,,14,21,239,,,232,471,492
1-Feb-17,1917,2,1,,,9,10,97,,,157,254,264
1-Mar-17,1917,3,5,,,18,23,131,54,5,255,445,468
1-Apr-17,1917,4,1,,,9,10,170,,7,208,385,395
1-May-17,1917,5,3,,,13,16,143,,6,389,538,554
1-Jun-17,1917,6,40,,,179,219,950,,1,"3,931","4,882","5,101"
1-Jul-17,1917,7,5,,2,28,35,341,87,1,"1,084","1,513","1,548"
1-Aug-17,1917,8,23,1,,61,85,557,,23,"1,553","2,133","2,218"
1-Sep-17,1917,9,2,,1,8,11,117,,4,419,540,551
1-Oct-17,1917,10,88,2,,156,246,878,35,,"2,748","3,661","3,907"
1-Nov-17,1917,11,18,2,,61,81,958,150,11,"1,978","3,097","3,178"
1-Dec-17,1917,12,17,,1,44,62,541,,,"1,205","1,746","1,808"
1-Jan-18,1918,1,8,,,20,28,424,,2,752,"1,178","1,206"
1-Feb-18,1918,2,7,,,38,45,186,,,411,597,642
1-Mar-18,1918,3,4,,,15,19,75,,,354,429,448
1-Apr-18,1918,4,54,1,,116,171,831,,15,"2,184","3,030","3,201"
1-May-18,1918,5,19,1,1,46,67,532,,230,"1,075","1,837","1,904"
1-Jun-18,1918,6,5,,,12,17,150,13,,312,475,492
1-Jul-18,1918,7,6,,,9,15,66,,,107,173,188
1-Aug-18,1918,8,22,,,54,76,255,,,815,"1,070","1,146"
1-Sep-18,1918,9,59,,,136,195,"1,106",17,7,"3,319","4,449","4,644"
1-Oct-18,1918,10,41,1,,86,128,725,62,,"1,942","2,729","2,857"
1-Nov-18,1918,11,43,2,,73,118,604,,5,"1,246","1,855","1,973"
Sub-Total,,,755,39,6,"1,722","2,522","15,549","1,344",373,"39,640","56,906","59,428"
Adjustments,,,2,35,2,2,41,0,"1,264",21,98,"1,383","1,424"
Total,,,753,4,4,"1,720","2,481","15,549",80,352,"39,542","55,523","58,004"
